"Genes","Scores","Type","Description"
"PIAS3","0.00002791","Peripheral","protein inhibitor of activated STAT 3"
"SLC2A4","0.0000279","Peripheral","solute carrier family 2 member 4"
"RAC2","0.00002782","Peripheral","Rac family small GTPase 2"
"ST3GAL6","0.00002781","Peripheral","ST3 beta-galactoside alpha-2,3-sialyltransferase 6"
"CCNB1","0.0000278","Peripheral","cyclin B1"
"CCL25","0.00002777","Peripheral","C-C motif chemokine ligand 25"
"INPPL1","0.0000277","Peripheral","inositol polyphosphate phosphatase like 1"
"SCNN1B","0.00002769","Peripheral","sodium channel epithelial 1 subunit beta"
"CDH5","0.00002769","Peripheral","cadherin 5"
"COLGALT2","0.00002765","Peripheral","collagen beta(1-O)galactosyltransferase 2"
"HDAC4","0.00002763","Peripheral","histone deacetylase 4"
"BRAF","0.00002763","Peripheral","B-Raf proto-oncogene, serine/threonine kinase"
"CXCL16","0.00002758","Peripheral","C-X-C motif chemokine ligand 16"
"CCL26","0.00002757","Peripheral","C-C motif chemokine ligand 26"
"LIN7B","0.00002751","Peripheral","lin-7 homolog B, crumbs cell polarity complex component"
"HLA-DRB1","0.00002748","Peripheral","major histocompatibility complex, class II, DR beta 1"
"CAPN14","0.00002744","Peripheral","calpain 14"
"PDZK1IP1","0.00002742","Peripheral","PDZK1 interacting protein 1"
"CX3CL1","0.00002741","Peripheral","C-X3-C motif chemokine ligand 1"
"MOAP1","0.00002741","Peripheral","modulator of apoptosis 1"
"KSR2","0.00002741","Peripheral","kinase suppressor of ras 2"
"RAB13","0.0000274","Peripheral","RAB13, member RAS oncogene family"
"RAB10","0.00002738","Peripheral","RAB10, member RAS oncogene family"
"LGALS7","0.00002737","Peripheral","galectin 7"
"ST14","0.00002737","Peripheral","ST14 transmembrane serine protease matriptase"
"RBM25","0.00002736","Peripheral","RNA binding motif protein 25"
"RAPGEF1","0.00002733","Peripheral","Rap guanine nucleotide exchange factor 1"
"PDIA4","0.00002731","Peripheral","protein disulfide isomerase family A member 4"
"FLNA","0.00002729","Peripheral","filamin A"
"RHOQ","0.00002728","Peripheral","ras homolog family member Q"
"MDK","0.00002728","Peripheral","midkine"
"RFFL","0.00002727","Peripheral","ring finger and FYVE like domain containing E3 ubiquitin protein ligase"
"FGFR1","0.00002726","Peripheral","fibroblast growth factor receptor 1"
"KAT14","0.00002726","Peripheral","lysine acetyltransferase 14"
"DR1","0.00002724","Peripheral","down-regulator of transcription 1"
"RAD51C","0.00002724","Peripheral","RAD51 paralog C"
"TWIST1","0.00002723","Peripheral","twist family bHLH transcription factor 1"
"ELAVL1","0.00002722","Peripheral","ELAV like RNA binding protein 1"
"MPHOSPH8","0.00002722","Peripheral","M-phase phosphoprotein 8"
"WNK4","0.00002721","Peripheral","WNK lysine deficient protein kinase 4"
"MSL3","0.00002721","Peripheral","MSL complex subunit 3"
"XCL1","0.00002719","Peripheral","X-C motif chemokine ligand 1"
"TRIP10","0.00002717","Peripheral","thyroid hormone receptor interactor 10"
"EIF2S3","0.00002717","Peripheral","eukaryotic translation initiation factor 2 subunit gamma"
"CCL1","0.00002716","Peripheral","C-C motif chemokine ligand 1"
"CCL24","0.00002715","Peripheral","C-C motif chemokine ligand 24"
"MPHOSPH10","0.00002715","Peripheral","M-phase phosphoprotein 10"
"BCL6","0.00002714","Peripheral","BCL6 transcription repressor"
"EREG","0.00002714","Peripheral","epiregulin"
"TRPC1","0.00002713","Peripheral","transient receptor potential cation channel subfamily C member 1"
"DOCK1","0.0000271","Peripheral","dedicator of cytokinesis 1"
"CXCL14","0.0000271","Peripheral","C-X-C motif chemokine ligand 14"
"GRK2","0.00002709","Peripheral","G protein-coupled receptor kinase 2"
"PSME2","0.00002707","Peripheral","proteasome activator subunit 2"
"CAV2","0.00002705","Peripheral","caveolin 2"
"ERCC2","0.00002703","Peripheral","ERCC excision repair 2, TFIIH core complex helicase subunit"
"ATXN1L","0.00002702","Peripheral","ataxin 1 like"
"HNRNPC","0.000027","Peripheral","heterogeneous nuclear ribonucleoprotein C"
"GBF1","0.000027","Peripheral","golgi brefeldin A resistant guanine nucleotide exchange factor 1"
"DNM1","0.00002698","Peripheral","dynamin 1"
"RAC3","0.00002697","Peripheral","Rac family small GTPase 3"
"PLEC","0.00002692","Peripheral","plectin"
"XCL2","0.00002686","Peripheral","X-C motif chemokine ligand 2"
"H3-4","0.00002684","Peripheral","H3.4 histone"
"IPPK","0.00002683","Peripheral","inositol-pentakisphosphate 2-kinase"
"SUPT7L","0.00002679","Peripheral","SPT7 like, STAGA complex subunit gamma"
"SCNN1G","0.00002678","Peripheral","sodium channel epithelial 1 subunit gamma"
"B4GALT4","0.00002676","Peripheral","beta-1,4-galactosyltransferase 4"
"UTP18","0.00002676","Peripheral","UTP18 small subunit processome component"
"PLOD1","0.00002674","Peripheral","procollagen-lysine,2-oxoglutarate 5-dioxygenase 1"
"MYO1B","0.0000267","Peripheral","myosin IB"
"IFT88","0.00002669","Peripheral","intraflagellar transport 88"
"GRN","0.00002667","Peripheral","granulin precursor"
"EIF2S1","0.00002665","Peripheral","eukaryotic translation initiation factor 2 subunit alpha"
"MITF","0.00002665","Peripheral","melanocyte inducing transcription factor"
"ELOVL5","0.00002663","Peripheral","ELOVL fatty acid elongase 5"
"SETD6","0.00002661","Peripheral","SET domain containing 6, protein lysine methyltransferase"
"SERPINH1","0.00002659","Peripheral","serpin family H member 1"
"SCN10A","0.00002658","Peripheral","sodium voltage-gated channel alpha subunit 10"
"WNK1","0.0000265","Peripheral","WNK lysine deficient protein kinase 1"
"RNF135","0.0000265","Peripheral","ring finger protein 135"
"PARD6A","0.00002649","Peripheral","par-6 family cell polarity regulator alpha"
"HLA-DRA","0.00002647","Peripheral","major histocompatibility complex, class II, DR alpha"
"CDC25C","0.00002646","Peripheral","cell division cycle 25C"
"EIF4EBP1","0.00002645","Peripheral","eukaryotic translation initiation factor 4E binding protein 1"
"PPARG","0.00002643","Peripheral","peroxisome proliferator activated receptor gamma"
"SKP1","0.00002642","Peripheral","S-phase kinase associated protein 1"
"PRKN","0.00002641","Peripheral","parkin RBR E3 ubiquitin protein ligase"
"NAA16","0.00002639","Peripheral","N-alpha-acetyltransferase 16, NatA auxiliary subunit"
"RBPJ","0.00002637","Peripheral","recombination signal binding protein for immunoglobulin kappa J region"
"GCK","0.00002637","Peripheral","glucokinase"
"WNK3","0.00002636","Peripheral","WNK lysine deficient protein kinase 3"
"DYNLL1","0.00002636","Peripheral","dynein light chain LC8-type 1"
"TADA2A","0.00002635","Peripheral","transcriptional adaptor 2A"
"CDH17","0.00002631","Peripheral","cadherin 17"
"PSME1","0.0000263","Peripheral","proteasome activator subunit 1"
"MAP4K2","0.00002629","Peripheral","mitogen-activated protein kinase kinase kinase kinase 2"
"LIMK1","0.00002627","Peripheral","LIM domain kinase 1"
"TOP3A","0.00002627","Peripheral","DNA topoisomerase III alpha"
"ARF6","0.00002625","Peripheral","ADP ribosylation factor 6"
"FANCM","0.00002622","Peripheral","FA complementation group M"
"CDKN1C","0.0000262","Peripheral","cyclin dependent kinase inhibitor 1C"
"CARD6","0.00002618","Peripheral","caspase recruitment domain family member 6"
"SCN3B","0.00002618","Peripheral","sodium voltage-gated channel beta subunit 3"
"RNF11","0.00002616","Peripheral","ring finger protein 11"
"PFN1","0.00002615","Peripheral","profilin 1"
"PPBP","0.00002611","Peripheral","pro-platelet basic protein"
"NOP10","0.00002608","Peripheral","NOP10 ribonucleoprotein"
"CEBPA","0.00002607","Peripheral","CCAAT enhancer binding protein alpha"
"XRCC2","0.00002607","Peripheral","X-ray repair cross complementing 2"
"WRN","0.00002605","Peripheral","WRN RecQ like helicase"
"ARFGAP1","0.00002604","Peripheral","ADP ribosylation factor GTPase activating protein 1"
"AFDN","0.00002603","Peripheral","afadin, adherens junction formation factor"
"ATXN7L3","0.00002603","Peripheral","ataxin 7 like 3"
"GSK3B","0.00002601","Peripheral","glycogen synthase kinase 3 beta"
"SUPT20H","0.000026","Peripheral","SPT20 homolog, SAGA complex component"
"NFIL3","0.000026","Peripheral","nuclear factor, interleukin 3 regulated"
"CTNND1","0.00002599","Peripheral","catenin delta 1"
"CFTR","0.00002597","Peripheral","CF transmembrane conductance regulator"
"RALBP1","0.00002597","Peripheral","ralA binding protein 1"
"HIGD1A","0.00002596","Peripheral","HIG1 hypoxia inducible domain family member 1A"
"CERK","0.00002595","Peripheral","ceramide kinase"
"NCF2","0.00002593","Peripheral","neutrophil cytosolic factor 2"
"SCN2B","0.00002591","Peripheral","sodium voltage-gated channel beta subunit 2"
"RECQL4","0.0000259","Peripheral","RecQ like helicase 4"
"POLH","0.0000259","Peripheral","DNA polymerase eta"
"STK39","0.00002586","Peripheral","serine/threonine kinase 39"
"CCL16","0.00002585","Peripheral","C-C motif chemokine ligand 16"
"PI3","0.00002583","Peripheral","peptidase inhibitor 3"
"SPTAN1","0.00002582","Peripheral","spectrin alpha, non-erythrocytic 1"
"UBE2L6","0.00002582","Peripheral","ubiquitin conjugating enzyme E2 L6"
"H3C1","0.00002581","Peripheral","H3 clustered histone 1"
"HACE1","0.00002581","Peripheral","HECT domain and ankyrin repeat containing E3 ubiquitin protein ligase 1"
"ELMO1","0.00002577","Peripheral","engulfment and cell motility 1"
"ATXN7","0.00002577","Peripheral","ataxin 7"
"RAD50","0.00002575","Peripheral","RAD50 double strand break repair protein"
"DCC","0.00002574","Peripheral","DCC netrin 1 receptor"
"CANX","0.00002569","Peripheral","calnexin"
"PCLO","0.00002564","Peripheral","piccolo presynaptic cytomatrix protein"
"RPS6KA6","0.00002554","Peripheral","ribosomal protein S6 kinase A6"
"NKIRAS1","0.00002553","Peripheral","NFKB inhibitor interacting Ras like 1"
"TAF5","0.00002552","Peripheral","TATA-box binding protein associated factor 5"
"SLC9A1","0.00002552","Peripheral","solute carrier family 9 member A1"
"ST3GAL4","0.00002551","Peripheral","ST3 beta-galactoside alpha-2,3-sialyltransferase 4"
"FRMD4A","0.00002551","Peripheral","FERM domain containing 4A"
"ACSM3","0.00002545","Peripheral","acyl-CoA synthetase medium chain family member 3"
"ACSM5","0.00002545","Peripheral","acyl-CoA synthetase medium chain family member 5"
"ACSM6","0.00002545","Peripheral","acyl-CoA synthetase medium chain family member 6"
"ACSM4","0.00002545","Peripheral","acyl-CoA synthetase medium chain family member 4"
"KRR1","0.00002545","Peripheral","KRR1 small subunit processome component homolog"
"GPNMB","0.00002543","Peripheral","glycoprotein nmb"
"SH2D1B","0.00002542","Peripheral","SH2 domain containing 1B"
"PLOD2","0.00002542","Peripheral","procollagen-lysine,2-oxoglutarate 5-dioxygenase 2"
"CNKSR2","0.00002539","Peripheral","connector enhancer of kinase suppressor of Ras 2"
"SH2D1A","0.00002539","Peripheral","SH2 domain containing 1A"
"POLD1","0.00002539","Peripheral","DNA polymerase delta 1, catalytic subunit"
"MAPRE2","0.00002538","Peripheral","microtubule associated protein RP/EB family member 2"
"ENPP7","0.00002538","Peripheral","ectonucleotide pyrophosphatase/phosphodiesterase 7"
"ATP13A2","0.00002536","Peripheral","ATPase cation transporting 13A2"
"ARIH2","0.00002531","Peripheral","ariadne RBR E3 ubiquitin protein ligase 2"
"SRF","0.00002527","Peripheral","serum response factor"
"FN1","0.00002526","Peripheral","fibronectin 1"
"MSL2","0.00002526","Peripheral","MSL complex subunit 2"
"RORA","0.00002522","Peripheral","RAR related orphan receptor A"
"B4GALT3","0.00002521","Peripheral","beta-1,4-galactosyltransferase 3"
"SIRT1","0.00002521","Peripheral","sirtuin 1"
"ECT2","0.00002519","Peripheral","epithelial cell transforming 2"
"MADD","0.00002518","Peripheral","MAP kinase activating death domain"
"ATF1","0.00002513","Peripheral","activating transcription factor 1"
"B3GNT4","0.0000251","Peripheral","UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 4"
"TADA2B","0.00002509","Peripheral","transcriptional adaptor 2B"
"YEATS2","0.00002507","Peripheral","YEATS domain containing 2"
"VAMP7","0.00002507","Peripheral","vesicle associated membrane protein 7"
"ADRA1B","0.00002502","Peripheral","adrenoceptor alpha 1B"
"SUV39H1","0.00002501","Peripheral","SUV39H1 histone lysine methyltransferase"
"B3GNT2","0.00002497","Peripheral","UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2"
"ACER1","0.00002491","Peripheral","alkaline ceramidase 1"
"ACER2","0.00002491","Peripheral","alkaline ceramidase 2"
"SGMS2","0.00002489","Peripheral","sphingomyelin synthase 2"
"SMPD4","0.00002489","Peripheral","sphingomyelin phosphodiesterase 4"
"DPM1","0.00002487","Peripheral","dolichyl-phosphate mannosyltransferase subunit 1, catalytic"
"TMPRSS13","0.00002485","Peripheral","transmembrane serine protease 13"
"COPS8","0.0000248","Peripheral","COP9 signalosome subunit 8"
"SCN4B","0.00002476","Peripheral","sodium voltage-gated channel beta subunit 4"
"YEATS4","0.00002475","Peripheral","YEATS domain containing 4"
"PSMD10","0.00002473","Peripheral","proteasome 26S subunit, non-ATPase 10"
"ATG4B","0.00002469","Peripheral","autophagy related 4B cysteine peptidase"
"SKP2","0.00002468","Peripheral","S-phase kinase associated protein 2"
"PSMF1","0.00002467","Peripheral","proteasome inhibitor subunit 1"
"WWP2","0.00002467","Peripheral","WW domain containing E3 ubiquitin protein ligase 2"
"CTNNA1","0.00002467","Peripheral","catenin alpha 1"
"ITK","0.00002464","Peripheral","IL2 inducible T cell kinase"
"PSMD5","0.00002463","Peripheral","proteasome 26S subunit, non-ATPase 5"
"RASGRP1","0.00002459","Core","RAS guanyl releasing protein 1"
"TAF6L","0.00002458","Peripheral","TATA-box binding protein associated factor 6 like"
"NTN1","0.00002457","Peripheral","netrin 1"
"PPP2R1B","0.00002454","Peripheral","protein phosphatase 2 scaffold subunit Abeta"
"ST3GAL3","0.00002452","Peripheral","ST3 beta-galactoside alpha-2,3-sialyltransferase 3"
"NAA50","0.00002452","Peripheral","N-alpha-acetyltransferase 50, NatE catalytic subunit"
"EFHD2","0.0000245","Peripheral","EF-hand domain family member D2"
"MRE11","0.00002449","Peripheral","MRE11 homolog, double strand break repair nuclease"
"PRKAG1","0.00002447","Peripheral","protein kinase AMP-activated non-catalytic subunit gamma 1"
"PSMD9","0.00002447","Peripheral","proteasome 26S subunit, non-ATPase 9"
"SEM1","0.00002444","Peripheral","SEM1 26S proteasome subunit"
"BLM","0.00002439","Peripheral","BLM RecQ like helicase"
"DPP4","0.00002437","Peripheral","dipeptidyl peptidase 4"
"FAF1","0.00002436","Peripheral","Fas associated factor 1"
"LMNA","0.00002435","Peripheral","lamin A/C"
"NBN","0.00002434","Peripheral","nibrin"
"EXO1","0.00002431","Peripheral","exonuclease 1"
"CERS4","0.00002431","Peripheral","ceramide synthase 4"
"DEGS2","0.00002431","Peripheral","delta 4-desaturase, sphingolipid 2"
"CERS5","0.00002431","Peripheral","ceramide synthase 5"
"NRP1","0.00002428","Peripheral","neuropilin 1"
"B4GALT2","0.00002428","Peripheral","beta-1,4-galactosyltransferase 2"
"DAB2IP","0.00002426","Peripheral","DAB2 interacting protein"
"RAB28","0.00002426","Peripheral","RAB28, member RAS oncogene family"
"PSMB5","0.00002425","Peripheral","proteasome 20S subunit beta 5"
"PSME3","0.0000242","Peripheral","proteasome activator subunit 3"
"RPS6KA1","0.00002418","Peripheral","ribosomal protein S6 kinase A1"
"GBA2","0.00002418","Peripheral","glucosylceramidase beta 2"
"ACTG1","0.00002417","Peripheral","actin gamma 1"
"SGPP2","0.00002415","Peripheral","sphingosine-1-phosphate phosphatase 2"
"SGPP1","0.00002415","Peripheral","sphingosine-1-phosphate phosphatase 1"
"PLXNB1","0.00002414","Peripheral","plexin B1"
"NAA15","0.00002414","Peripheral","N-alpha-acetyltransferase 15, NatA auxiliary subunit"
"RALA","0.00002413","Peripheral","RAS like proto-oncogene A"
"PSMB9","0.00002412","Peripheral","proteasome 20S subunit beta 9"
"SCN1B","0.00002411","Peripheral","sodium voltage-gated channel beta subunit 1"
"MYH14","0.00002409","Peripheral","myosin heavy chain 14"
"ZYX","0.00002407","Peripheral","zyxin"
"CERS6","0.00002402","Peripheral","ceramide synthase 6"
"POLE3","0.00002401","Peripheral","DNA polymerase epsilon 3, accessory subunit"
"PSMB1","0.00002399","Peripheral","proteasome 20S subunit beta 1"
"TAF5L","0.00002399","Peripheral","TATA-box binding protein associated factor 5 like"
"RAD51B","0.00002398","Peripheral","RAD51 paralog B"
"CEBPB","0.00002398","Peripheral","CCAAT enhancer binding protein beta"
"DEGS1","0.00002397","Peripheral","delta 4-desaturase, sphingolipid 1"
"ASAH2","0.00002397","Peripheral","N-acylsphingosine amidohydrolase 2"
"H2AB2","0.00002396","Peripheral","H2A.B variant histone 2"
"TAF10","0.00002395","Peripheral","TATA-box binding protein associated factor 10"
"GLMN","0.00002392","Peripheral","glomulin, FKBP associated protein"
"B3GNT3","0.0000239","Peripheral","UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3"
"PSMB7","0.00002387","Peripheral","proteasome 20S subunit beta 7"
"COPS5","0.00002386","Peripheral","COP9 signalosome subunit 5"
"SUPT3H","0.00002378","Peripheral","SPT3 homolog, SAGA and STAGA complex component"
"BHLHE41","0.00002375","Peripheral","basic helix-loop-helix family member e41"
"ENY2","0.00002374","Peripheral","ENY2 transcription and export complex 2 subunit"
"ASAH1","0.00002371","Peripheral","N-acylsphingosine amidohydrolase 1"
"CERS3","0.00002366","Peripheral","ceramide synthase 3"
"PPL","0.00002365","Peripheral","periplakin"
"PSMA7","0.00002355","Peripheral","proteasome 20S subunit alpha 7"
